개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3250000,202632500000800382,부산광역시 중구청,부산광역시 중구 광복로49번길 26,부산광역시 중구 광복로49번길 26,생활방범,1,200,360도 전방면,30,201312,051-600-4171,35.10148,129.03033,2026-05-07,I,2026-05-15 18:45:39,2026-05-07 15:39:48
3250000,202632500000800383,부산광역시 중구청,부산광역시 중구 영주로6번안길 3,부산광역시 중구 영주로6번안길 3,생활방범,1,200,360도 전방면,30,201312,051-600-4171,35.1106,129.03273,2026-05-07,I,2026-05-15 18:45:39,2026-05-07 15:39:48
3250000,202632500000800384,부산광역시 중구청,부산광역시 중구 망양로355번길 10,부산광역시 중구 망양로355번길 10,생활방범,1,200,360도 전방면,30,201312,051-600-4171,35.10826,129.03047,2026-05-07,I,2026-05-15 18:45:39,2026-05-07 15:39:48
3250000,202632500000800385,부산광역시 중구청,부산광역시 중구 중구로185번길 7,부산광역시 중구 중구로185번길 7,생활방범,1,200,360도 전방면,30,201312,051-600-4171,35.11148,129.03375,2026-05-07,I,2026-05-15 18:45:39,2026-05-07 15:39:48
3250000,202632500000800375,부산광역시 중구청,부산광역시 중구 동광길 74,부산광역시 중구 동광길 74,생활방범,1,200,360도 전방면,30,201411,051-600-4171,35.10595,129.03497,2026-05-07,I,2026-05-15 18:45:39,2026-05-07 15:39:48
3250000,202632500000800386,부산광역시 중구청,부산광역시 중구 흑교로51번길 10,부산광역시 중구 흑교로51번길 10,생활방범,1,200,360도 전방면,30,201312,051-600-4171,35.10369,129.02394,2026-05-07,I,2026-05-15 18:45:39,2026-05-07 15:39:48
3250000,202632500000800387,부산광역시 중구청,부산광역시 중구 중앙대로41번길 24,부산광역시 중구 중앙대로41번길 24,생활방범,1,200,360도 전방면,30,201312,051-600-4171,35.10083,129.03382,2026-05-07,I,2026-05-15 18:45:39,2026-05-07 15:39:48
3250000,202632500000800388,부산광역시 중구청,부산광역시 중구 샘길 10,부산광역시 중구 샘길 10,생활방범,1,200,360도 전방면,30,201312,051-600-4171,35.10509,129.03241,2026-05-07,I,2026-05-15 18:45:39,2026-05-07 15:39:48
3250000,202632500000800389,부산광역시 중구청,부산광역시 중구 망양로 393-11,부산광역시 중구 망양로 393-11,생활방범,1,200,360도 전방면,30,201312,051-600-4171,35.1115,129.02895,2026-05-07,I,2026-05-15 18:45:39,2026-05-07 15:39:48
3250000,202632500000800390,부산광역시 중구청,부산광역시 중구 영초길 104,부산광역시 중구 영초길 104,생활방범,1,200,360도 전방면,30,201312,051-600-4171,35.11369,129.0338,2026-05-07,I,2026-05-15 18:45:39,2026-05-07 15:39:48
