고객ID,나이,멤버십등급,월평균구매금액,구매횟수,리뷰점수,이탈여부,멤버십등급_Encoder,거주지역_경기,거주지역_기타,거주지역_대구,거주지역_부산,거주지역_서울,성별_남,성별_여,가입경로_광고,가입경로_앱,가입경로_웹,가입경로_지인추천,쿠폰사용여부_N,쿠폰사용여부_Y,Buy
C0001,22.0,실버,-0.3293519025045145,-0.18359232912438098,3.3,1,3,0,0,1,0,0,1,0,0,1,0,0,1,0,-0.2988041578932046
C0002,58.0,VIP,0.7835211629589496,2.2732393258247563,4.7,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.24467912889583002
C0003,52.0,브론즈,-0.6319595243203666,-1.0769856581967945,3.3,0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,-0.23776923245130138
C0004,40.0,실버,-0.24594648889715365,-1.0769856581967945,3.8,0,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0.43963417140416744
C0005,40.0,골드,0.0968270290894046,-0.18359232912438098,4.9,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0.021719872297372416
C0006,62.0,실버,-0.19502314280905372,-0.853637325928691,3.2,0,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0.21103395129368246
C0007,22.0,골드,0.09067600106651336,0.039756003143722386,4.1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,-0.077900279732567
C0008,54.0,실버,-0.24419824171421095,-0.18359232912438098,3.8,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.2347611174737498
C0009,28.0,브론즈,-0.5227466505098447,-1.3003339904648978,3.0,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0.3022573189672487
C0010,22.0,골드,0.08006645051424265,0.4864526676799291,4.1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,-0.2164774535080745
C0011,45.0,브론즈,-0.4412551630213262,-1.3003339904648978,3.7366315789473683,1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0.5167679932613641
C0012,68.0,브론즈,-0.4691305509136651,-1.0769856581967945,3.9,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0.04797474692250573
C0013,56.0,실버,-0.22360236133802647,0.4864526676799291,3.4,1,3,0,0,0,0,1,0,1,0,0,1,0,1,0,-0.376347407045739
C0014,57.0,골드,0.11440760140734893,0.9331493322161358,4.9,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,-0.2891415560411735
C0015,55.0,골드,6.829978126329642,0.7098009999480325,4.1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,2.9661869624453185
C0016,58.0,브론즈,-0.5227132224875259,-1.0769856581967945,3.7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,-0.046055974273238286
C0017,44.0,브론즈,-0.5307200763672552,-1.0769856581967945,3.3,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,-0.0601069766347398
C0018,24.0,VIP,0.6927476318555706,2.049890993556653,4.5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,-0.24348550076533634
C0019,61.0,브론즈,-0.30436793107820104,-0.6302889936605877,3.1,0,2,0,0,0,0,1,1,0,0,1,0,0,1,0,-0.09487620180358672
C0020,43.19565217391305,브론즈,-0.6475137598859756,-1.3003339904648978,3.3,1,2,0,0,0,1,0,0,1,0,0,1,0,1,0,-0.026168110324029433
C0021,44.0,브론즈,-0.4090796340162593,-0.853637325928691,3.4,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,-0.07069732936529095
C0022,37.0,실버,-0.4275002625290246,-1.0769856581967945,3.4,0,3,1,0,0,0,0,1,0,0,0,0,1,1,0,0.12103056749686047
C0023,27.0,골드,0.18759513490372443,0.7098009999480325,4.0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,-0.21286690021909033
C0024,66.0,골드,0.34101478785295947,1.156497664484239,3.9,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,-0.2322736547339735
C0025,58.0,골드,4.496122507612891,0.4864526676799291,5.0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,2.108406265573159
C0026,51.0,브론즈,-0.4767871626134663,0.039756003143722386,3.3,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,-0.45133470101250367
C0027,38.0,브론즈,-0.5593916732917323,-1.3003339904648978,3.9,1,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0.20579634140105255
C0028,60.0,실버,-0.21008178340637568,-0.18359232912438098,3.6,0,3,0,1,0,0,0,1,0,0,1,0,0,1,0,-0.20910254098861378
C0029,46.0,브론즈,-0.5245468976168316,-0.853637325928691,3.4,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,-0.22267001594402638
C0030,41.0,브론즈,-0.5848741073883248,-0.853637325928691,2.8,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,-0.3020699069337988
C0031,41.0,브론즈,-0.5288193864603224,-0.853637325928691,3.1,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,-0.22829326869702363
C0032,29.0,브론즈,-0.4736509878041442,-0.853637325928691,3.4,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,-0.1556831669539998
C0033,22.0,실버,-0.3002780972760595,0.26310433541182576,4.3,0,3,1,0,0,0,0,1,0,0,0,1,0,0,1,-0.3804759769248966
C0034,46.0,골드,0.07194310120519212,1.3798459967523424,4.2,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,-0.3699267879688615
C0035,64.0,브론즈,-0.649760828770301,-0.853637325928691,3.9,1,2,0,0,0,0,1,0,1,0,0,1,0,0,1,-0.3874708168039443
C0036,21.0,실버,-0.16944159029128875,0.26310433541182576,4.0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,1,-0.30394220988697496
C0037,62.0,골드,0.22466169452580215,0.4864526676799291,4.8,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,-0.14035361714538233
C0038,61.0,골드,0.18922076217387052,1.156497664484239,4.1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,-0.29374574559655925
C0039,32.0,골드,0.2721004614514714,0.26310433541182576,5.0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,-0.04565897301135435
C0040,50.0,실버,-0.20366161137565583,0.26310433541182576,3.5,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,-0.32395946028642625
C0041,26.0,골드,0.2073388515945755,1.6031943290204458,3.8,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,-0.34726846740939227
C0042,57.0,브론즈,-0.4617354270711621,-0.853637325928691,2.8,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0,-0.14000045550647228
C0043,54.0,브론즈,-0.5064093396027356,-1.5236823227330012,4.2,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,1.4333828446910424
C0044,36.0,브론즈,-0.5560440300598962,-1.0769856581967945,3.6,1,2,0,1,0,0,0,1,0,0,0,1,0,1,0,-0.10454726972397596
C0045,21.0,실버,0.03658848468822824,0.26310433541182576,3.6,0,3,0,0,0,0,1,0,1,0,1,0,0,1,0,-0.18342341796353046
C0046,68.0,브론즈,-0.5471323700215189,-0.6302889936605877,3.8,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,-0.35048848768657914
C0047,41.0,브론즈,-0.571304067725307,-0.853637325928691,3.6,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,-0.2842096466291752
C0048,64.0,골드,0.2120843285731399,1.156497664484239,4.9,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,-0.28448667742934436
C0049,53.0,브론즈,-0.46760901567924196,-0.6302889936605877,2.7,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,-0.2667565108246026
C0050,58.0,브론즈,6.941301754927848,-0.4069406613924843,3.2,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,6.15473757005425
C0051,57.0,브론즈,-0.3692141565076147,-0.4069406613924843,3.1,0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,-0.25977166655292916
C0052,28.0,실버,-0.224232919767628,0.4864526676799291,2.9,0,3,0,0,0,0,1,1,0,0,1,0,0,1,0,-0.37667937181429156
C0053,43.19565217391305,브론즈,-0.6215908916237944,-0.6302889936605877,3.7,1,2,0,0,0,0,1,0,1,0,1,0,0,0,1,-0.4288875851535259
C0054,42.0,브론즈,-0.36174481946014503,-0.4069406613924843,3.2,1,2,0,1,0,0,0,1,0,0,1,0,0,1,0,-0.2532178019470975
C0055,43.0,브론즈,-0.4253707599368247,-1.0769856581967945,3.6,0,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0.12476757161873868
C0056,20.0,골드,0.020164035242464518,0.4864526676799291,5.0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,-0.24801377193300356
C0057,46.0,VIP,0.8817235040366393,2.4965876580928597,4.4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,-0.24368869995062684
C0058,26.0,실버,-0.1391519505538964,-0.18359232912438098,3.5,0,3,1,0,0,0,0,0,1,0,1,0,0,0,1,-0.1557570698701981
C0059,56.0,실버,-0.21474188812304998,0.26310433541182576,3.7,0,3,0,0,1,0,0,0,1,0,0,1,0,1,0,-0.3304409488162253
C0060,53.0,골드,0.34272501023992286,0.7098009999480325,4.5,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,-0.1386215232152687
C0061,65.0,VIP,0.6989177916702884,1.6031943290204458,4.3,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,-0.1747368600734569
C0062,56.0,실버,-0.2167629454018922,-0.18359232912438098,3.4,1,3,0,0,0,0,1,1,0,0,0,1,0,1,0,-0.2141273622794033
C0063,37.0,골드,0.08843765340300716,1.3798459967523424,4.5,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,-0.3637241111649433
C0064,68.0,VIP,0.7466622460058675,2.049890993556653,4.7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,-0.22678904702286387
C0065,39.0,골드,0.21689695106251267,0.039756003143722386,3.3,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.005162816573965594
C0066,34.0,실버,-0.21193110648419705,-0.18359232912438098,3.2,0,3,0,0,1,0,0,1,0,1,0,0,0,1,0,-0.21049339455289215
C0067,65.0,브론즈,-0.5853271707622472,0.039756003143722386,3.9,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.5227623772442209
C0068,43.19565217391305,브론즈,-0.4813853381463874,-0.853637325928691,3.5,0,2,0,0,0,0,1,1,0,0,0,1,0,1,0,-0.16586276213794623
C0069,21.0,실버,-0.2214764262350484,-1.0769856581967945,3.4,0,3,1,0,0,0,0,0,1,0,1,0,0,0,1,0.48257599517365024
C0070,42.0,실버,6.72641761673792,0.7098009999480325,3.6,1,3,1,0,0,0,0,0,1,0,0,1,0,0,1,2.916622756577932
C0071,59.0,실버,-0.3798907014529063,0.039756003143722386,3.7,1,3,1,0,0,0,0,0,1,1,0,0,0,0,1,-0.38756937453225687
C0072,27.0,실버,-0.1497328358594836,-0.18359232912438098,4.0,1,3,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.16371482599025555
C0073,42.0,실버,-0.5075785991539873,-0.4069406613924843,3.2,0,3,1,0,0,0,0,1,0,0,0,1,0,0,1,-0.3811775982444024
C0074,24.0,골드,0.1862547697456721,1.156497664484239,3.8,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,-0.2949468848062764
C0075,43.19565217391305,브론즈,-0.5500850477146592,-1.0769856581967945,3.4,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,-0.09409001944030985
C0076,42.0,브론즈,-0.3482466874633664,-0.4069406613924843,3.3,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,-0.24137405611312143
C0077,35.0,골드,0.1072880812867992,0.9331493322161358,4.3,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,-0.2922650173759639
C0078,29.0,골드,0.23756080260763648,0.7098009999480325,3.6,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,-0.18895326122540904
C0079,47.0,VIP,0.6360711376741259,1.8265426612885494,4.6,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,-0.23092343228936837
C0080,52.0,골드,0.17589778831875694,0.7098009999480325,4.5,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,-0.21846526678299757
C0081,66.0,골드,0.24630088293381772,1.156497664484239,3.7366315789473683,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,-0.2706299849195156
C0082,40.0,브론즈,-0.5483306049624681,-1.3003339904648978,3.4,1,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0.23491247731718803
C0083,26.0,실버,-0.1009885451263472,-0.853637325928691,3.7,0,3,0,0,0,0,1,1,0,1,0,0,0,1,0,0.33479795154423153
C0084,61.0,브론즈,-0.6083446465556971,-0.6302889936605877,3.0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,0,-0.414940307718822
C0085,50.0,실버,-0.180303617987142,0.039756003143722386,3.7,1,3,0,1,0,0,0,1,0,1,0,0,0,0,1,-0.2562257177464206
C0086,54.0,VIP,0.7851682124748708,2.049890993556653,3.7366315789473683,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,-0.2148643936039102
C0087,23.0,브론즈,-0.42148818788733616,-0.6302889936605877,3.3,1,2,0,0,0,0,1,0,1,0,0,0,1,1,0,-0.21819482580179142
C0088,34.0,실버,0.0029503253523900093,-0.4069406613924843,3.3,1,3,1,0,0,0,0,0,1,0,0,0,1,1,0,0.06677881707215516
C0089,57.0,브론즈,-0.5823276066648312,-0.4069406613924843,3.1,1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,-0.4467650622365817
C0090,61.0,브론즈,-0.6518970069480245,-0.853637325928691,3.4,1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,-0.39028235599311684
C0091,40.0,브론즈,-0.6084166476768392,-1.0769856581967945,3.2,1,2,0,1,0,0,0,0,1,0,1,0,0,1,0,-0.19645450131174289
C0092,59.0,브론즈,-0.42144241827012985,-1.0769856581967945,3.5,0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0.13166130776837107
C0093,61.0,VIP,0.7371792315700834,2.719935990360963,4.7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,-0.306695693177075
C0094,38.0,실버,7.9789101457184595,-0.853637325928691,4.1,1,3,0,0,1,0,0,0,1,0,1,0,0,0,1,10.969187933966978
C0095,64.0,골드,0.0361617949309688,0.9331493322161358,4.7,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,-0.32346939654169204
C0096,32.0,실버,-0.12694107096160231,-0.853637325928691,4.1,0,3,0,0,0,0,1,0,1,0,0,1,0,1,0,0.30064043406524094
C0097,30.0,브론즈,-0.6344462418746698,-0.853637325928691,2.9,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,-0.36731446389665134
C0098,53.0,브론즈,-0.36511583945288073,-1.0769856581967945,2.9,1,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0.2305072345037339
C0099,43.19565217391305,골드,0.48590884396445766,-0.18359232912438098,4.1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0.31434360879039297
C0100,25.0,브론즈,-0.4546606686921485,-0.6302889936605877,3.1,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,-0.25312289716115377
C0101,61.0,VIP,0.7468043538004914,1.6031943290204458,4.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,-0.15792990424080153
C0102,28.0,브론즈,-0.5517546763424559,-1.5236823227330012,3.1,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,1.1946570817946025
C0103,59.0,실버,-0.41812681105608035,0.26310433541182576,3.5,1,3,0,1,0,0,0,0,1,0,0,0,1,1,0,-0.44941243979766854
C0104,18.0,골드,0.09494373399719364,1.3798459967523424,3.8,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,-0.3612775388238446
C0105,59.0,브론즈,-0.6195530106588342,-0.18359232912438098,3.2,1,2,0,1,0,0,0,0,1,0,1,0,0,0,1,-0.5170609084170057
C0106,58.0,브론즈,-0.6595640170284592,-0.6302889936605877,3.8,1,2,0,0,0,1,0,0,1,0,0,0,1,1,0,-0.46887036611212507
C0107,58.0,VIP,0.8755290349481415,1.8265426612885494,3.7366315789473683,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.1521325723597696
C0108,52.0,브론즈,-0.46523529872703634,-0.18359232912438098,4.3,0,2,0,0,0,0,1,0,1,0,1,0,0,0,1,-0.4010004199898154
C0109,42.0,실버,-0.17068871725789841,0.4864526676799291,3.8,0,3,0,0,1,0,0,0,1,1,0,0,0,1,0,-0.34849040793871866
C0110,43.19565217391305,실버,-0.24850642857021432,0.26310433541182576,3.6,0,3,1,0,0,0,0,0,1,0,1,0,0,1,0,-0.3501917625017859
C0111,43.19565217391305,브론즈,-0.5155989806435299,-1.3003339904648978,3.7366315789473683,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0.3210721857700043
C0112,58.0,골드,0.2720304287272156,0.7098009999480325,4.2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-0.1724560495768946
C0113,46.0,골드,0.15939153397068545,0.9331493322161358,4.3,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,-0.26940629696902835
C0114,41.0,브론즈,-0.4361027863671061,-1.5236823227330012,4.1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,1.8035198149848994
C0115,44.0,골드,0.14089869039283248,0.9331493322161358,3.8,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,-0.27751943955556696
C0116,43.19565217391305,브론즈,-0.5347262242211328,0.26310433541182576,3.6,1,2,0,0,1,0,0,0,1,0,1,0,0,0,1,-0.5176181151828362
C0117,19.0,브론즈,-0.655034179708657,-0.6302889936605877,3.4,1,2,0,0,1,0,0,1,0,0,1,0,0,0,1,-0.46410079575399243
C0118,25.0,실버,-0.4370567655728668,0.4864526676799291,3.1,0,3,1,0,0,0,0,1,0,0,0,0,1,0,1,-0.48872294366829844
C0119,30.0,VIP,0.651364627001375,1.8265426612885494,4.8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,-0.22589128597414698
C0120,23.0,브론즈,-0.48968259107482287,-0.853637325928691,3.8,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,-0.17678322374271382
C0121,40.0,브론즈,-0.6413867153000329,-0.6302889936605877,3.0,1,2,0,0,0,1,0,1,0,0,0,1,0,1,0,-0.4497310652070498
C0122,52.0,실버,-0.21748515722214304,-0.6302889936605877,3.7,0,3,1,0,0,0,0,1,0,0,1,0,0,1,0,-0.003395322125046178
C0123,52.0,골드,0.16911885392176743,0.26310433541182576,3.4,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,-0.1058988138746269
C0124,42.0,브론즈,-0.7396747001152247,-0.18359232912438098,2.8,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,-0.6074029811090209
C0125,62.0,브론즈,-0.599466615966226,-0.18359232912438098,3.7,1,2,0,1,0,0,0,0,1,0,0,1,0,1,0,-0.5019541734247467
C0126,47.0,골드,0.20906229142967375,0.26310433541182576,3.9,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,-0.08253360938105446
C0127,22.0,브론즈,-0.45233220670199803,-0.4069406613924843,2.9,1,2,0,0,0,1,0,1,0,0,0,1,0,1,0,-0.3327024291912614
C0128,57.0,브론즈,-0.6264205392243846,-0.853637325928691,3.4,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,-0.35675140424309343
